id,title,genre,description,rating,year,poster,trailer
1,Inception,"Sci-Fi, Thriller, Action",A skilled thief who steals secrets from inside dreams is offered a chance at redemption if he can plant an idea in a target's subconscious mind.,8.8,2010,posters/inception.jpg,YoHD9XEInc0
2,Interstellar,"Sci-Fi, Drama, Adventure",A team of explorers travels through a wormhole near Saturn in a desperate attempt to find a new home for a dying humanity.,8.7,2014,posters/interstellar.jpg,zSWdZVtXT7E
3,The Matrix,"Sci-Fi, Action",A computer hacker learns that his reality is a simulation built by machines and joins a rebellion to free the human race.,8.7,1999,posters/the-matrix.jpg,vKQi3bBA1y8
4,The Dark Knight,"Action, Crime, Drama","Batman faces the Joker, an anarchic criminal mastermind who pushes Gotham City and its protector to their moral breaking point.",9.0,2008,posters/the-dark-knight.jpg,EXeTwQWrcwY
5,The Avengers,"Action, Adventure, Sci-Fi",Earth's mightiest heroes are recruited into a single team to stop an alien invasion led by the trickster god Loki.,8.0,2012,posters/the-avengers.jpg,eOrNdBpGMv8
6,Iron Man,"Action, Sci-Fi, Adventure",A billionaire weapons inventor builds a powered armour suit to escape captivity and becomes a technological superhero.,7.9,2008,posters/iron-man.jpg,8ugaeA-nMTc
7,Spider-Man,"Action, Adventure, Sci-Fi",A shy high school student gains spider-like powers after a bite and learns that great power brings great responsibility.,7.4,2002,posters/spider-man.jpg,t06RUxPbp_c
8,Titanic,"Romance, Drama",A poor artist and a wealthy young woman fall in love aboard the doomed maiden voyage of the RMS Titanic.,7.9,1997,posters/titanic.jpg,CHekzSiZjrY
9,The Notebook,"Romance, Drama","A poor young man and a rich girl fall deeply in love one summer, and their story is retold years later to an ageing woman.",7.8,2004,posters/the-notebook.jpg,BjJcYdEOI0k
10,Harry Potter and the Philosopher's Stone,"Fantasy, Adventure, Family",An orphaned boy discovers he is a wizard and begins his first year at Hogwarts School of Witchcraft and Wizardry.,7.6,2001,posters/harry-potter-and-the-philosopher-s-stone.jpg,VyHV0BRtdxo
